Symbol,SECURITY_ID
MOTISONS,20788
MPHASIS,4503
MPSLTD,10578
MRF,2277
MRPL,2283
MSPL,11919
MSTCLTD,9356
MSUMI,8596
MTARTECH,2709
MTNL,2294
MUFIN,19783
MUFTI,20878
MUKANDLTD,11325
MUKKA,22980
MUNJALAU,13511
MUTHOOTFIN,23650
MUTHOOTMF,20831
MVGJL,19015
NACLIND,20425
NAHARSPING,14440
NAM-INDIA,357
NATCOPHARM,3918
NATIONALUM,6364
NAUKRI,13751
NAVA,4014
NAVINFLUOR,14672
NAVKARCORP,10557
NAVNETEDUL,2385
NAZARA,2987
NBCC,31415
NBIFIN,19111
NCC,2319
NCLIND,14490
NDRAUTO,22255
NDTV,11427
NECLIFE,11927
NELCAST,14761
NELCO,2388
NEOGEN,9917
NESCO,15409
NESTLEIND,17963
NETWEB,17433
NETWORK18,14111
NEULANDLAB,2406
NEWGEN,1164
NFL,13925
NGLFINE,10287
NH,11840
NHPC,17400
NIACL,399
NIBE,29487
NIITLTD,11522
NIITMTS,17747
NILKAMAL,2421
NINSYS,14194
NITCO,13300
NITINSPIN,13175
NIVABUPA,27097
NLCINDIA,8585
NMDC,15332
NOCIL,2442
NORTHARC,25426
NRBBEARING,7553
NSIL,11239
NSLNISP,14180
NTPC,11630
NTPCGREEN,27176
NUCLEUS,10791
NUVAMA,18721
NUVOCO,5426
NYKAA,6545
OAL,10768
OBEROIRLTY,20242
OFSS,10738
OIL,17438
OLAELEC,24777
OLECTRA,10637
OMAXE,14853
OMINFRAL,24231
ONEPOINT,9939
ONESOURCE,29224
ONGC,2475
ONMOBILE,15278
ONWARDTEC,2481
OPTIEMUS,21469
ORCHPHARMA,926
ORICONENT,10159
ORIENTCEM,30089
ORIENTELEC,2972
ORIENTHOT,2493
ORIENTTECH,24961
ORISSAMINE,19931
OSWALAGRO,2514
OSWALGREEN,471
PAGEIND,14413
PAISALO,25468
PAKKA,17197
PANACEABIO,4055
PANAMAPET,25392
PARACABLES,13951
PARADEEP,9741
PARAGMILK,17130
PARAS,5911
PARKHOTELS,22649
PARSVNATH,13795
PATANJALI,17029
PATELENG,11699
PAYTM,6705
PCBL,2649
PCJEWELLER,29124
PDMJEPAPER,15406
PDSL,5264
PEL,2412
PENIND,20621
PENINLAND,5358
PERSISTENT,18365
PETRONET,11351
PFC,14299
PFIZER,2643
PFOCUS,13496
PFS,22602
PGEL,25358
PGHH,2535
PGHL,940
PGIL,14260
PHOENIXLTD,14552
PIDILITIND,2664
PIIND,24184
PILANIINVS,11445
PITTIENG,14134
PIXTRANS,9087
PLATIND,22930
PNB,10666
PNBGILTS,8736
PNBHOUSING,18908
PNCINFRA,9385
PNGJL,25312
POCL,14385
POKARNA,17651
POLICYBZR,6656
POLYCAB,9590
POLYMED,25718
POLYPLEX,2687
POONAWALLA,11403
POWERGRID,14977
POWERINDIA,18457
POWERMECH,10473
PPL,10297
PPLPHARMA,11571
PRAJIND,2705
PRAKASH,2708
PRECAM,12603
PRECOT,2711
PRECWIRE,2717
PREMEXPLN,17397
PREMIERENE,25049
PREMIERPOL,3908
PRESTIGE,20302
PRICOLLTD,19631
PRIMESECU,11864
PRINCEPIPE,16045
PRIVISCL,8825
PROTEAN,29472
PRSMJOHNSN,2739
PRUDENT,9553
PSB,21001
PSPPROJECT,20877
PTC,11355
PTCIL,16682
PTL,14101
PUNJABCHEM,4344
PURVA,14922
